Time,Accel1_X [m/s^2],Accel1_Y [m/s^2],Accel1_Z [m/s^2],Rotation1_X [rad/s],Rotation1_Y [rad/s],Rotation1_Z [rad/s],Accel2_X [m/s^2],Accel2_Y [m/s^2],Accel2_Z [m/s^2],Rotation2_X [rad/s],Rotation2_Y [rad/s],Rotation2_Z [rad/s]
2025-02-24 12:47:14.817,-0.01,0.01,0.02,-0.06,-0.00,-0.02,,-4.56,0.03,8.96,-0.02,-0.02,0.02
2025-02-24 12:47:14.844,0.02,0.00,0.03,-0.06,-0.00,-0.02,,-4.72,-0.06,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:14.892,0.02,0.02,0.03,-0.06,-0.00,-0.02,,-4.56,-0.01,9.01,-0.01,-0.02,0.01
2025-02-24 12:47:14.926,0.02,0.00,0.01,-0.06,-0.01,-0.02,,-4.69,-0.06,8.99,-0.01,-0.02,0.01
2025-02-24 12:47:14.960,0.04,0.01,0.01,-0.06,-0.00,-0.02,,-4.67,-0.02,9.01,-0.01,-0.02,0.01
2025-02-24 12:47:14.993,0.02,0.02,0.03,-0.06,-0.01,-0.02,,-4.72,-0.02,9.05,-0.02,-0.01,0.02
2025-02-24 12:47:15.026,0.02,0.02,0.04,-0.06,-0.00,-0.02,,-4.69,0.00,8.90,-0.02,-0.02,0.01
2025-02-24 12:47:15.070,0.02,0.02,0.03,-0.06,-0.01,-0.02,,-4.68,0.01,9.04,-0.01,-0.02,0.02
2025-02-24 12:47:15.108,0.02,-0.00,0.04,-0.06,-0.00,-0.02,,-4.74,-0.03,9.02,-0.01,-0.02,0.01
2025-02-24 12:47:15.142,0.02,0.00,0.05,-0.06,-0.00,-0.02,,-4.67,-0.07,9.00,-0.01,-0.02,0.02
2025-02-24 12:47:15.179,0.04,-0.00,0.03,-0.06,-0.01,-0.02,,-4.74,-0.03,9.00,-0.02,-0.02,0.01
2025-02-24 12:47:15.215,0.02,0.02,0.04,-0.06,-0.00,-0.02,,-4.60,-0.00,9.01,-0.01,-0.02,0.01
2025-02-24 12:47:15.243,0.02,0.01,0.04,-0.06,-0.00,-0.02,,-4.71,-0.01,9.03,-0.01,-0.02,0.01
2025-02-24 12:47:15.278,0.02,0.01,-0.02,-0.06,-0.01,-0.02,,-4.59,0.01,9.14,-0.01,-0.02,0.02
2025-02-24 12:47:15.324,0.02,-0.00,-0.00,-0.06,-0.01,-0.02,,-4.66,-0.01,8.99,-0.02,-0.02,0.02
2025-02-24 12:47:15.360,0.03,-0.00,-0.00,-0.06,-0.01,-0.02,,-4.67,-0.07,9.02,-0.02,-0.02,0.02
2025-02-24 12:47:15.393,0.03,0.02,0.05,-0.06,-0.00,-0.02,,-4.69,-0.02,9.05,-0.01,-0.02,0.02
2025-02-24 12:47:15.427,0.01,0.02,0.03,-0.06,-0.00,-0.02,,-4.70,-0.00,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:15.460,0.01,0.01,0.02,-0.06,-0.00,-0.02,,-4.65,0.03,9.01,-0.02,-0.01,0.02
2025-02-24 12:47:15.494,-0.00,0.02,0.05,-0.06,-0.01,-0.02,,-4.77,-0.01,9.01,-0.01,-0.02,0.02
2025-02-24 12:47:15.542,0.03,0.01,0.00,-0.06,-0.01,-0.02,,-4.55,-0.01,9.04,-0.02,-0.02,0.01
2025-02-24 12:47:15.576,0.02,0.03,0.02,-0.06,-0.01,-0.02,,-4.70,-0.05,9.09,-0.01,-0.02,0.02
2025-02-24 12:47:15.610,0.02,0.01,0.02,-0.06,-0.01,-0.02,,-4.59,0.02,8.97,-0.01,-0.02,0.02
2025-02-24 12:47:15.643,0.01,0.00,0.00,-0.06,-0.01,-0.02,,-4.69,-0.05,8.95,-0.01,-0.02,0.02
2025-02-24 12:47:15.676,0.00,0.03,0.05,-0.06,-0.00,-0.02,,-4.62,0.00,9.00,-0.02,-0.02,0.02
2025-02-24 12:47:15.710,0.02,0.02,0.03,-0.06,-0.00,-0.02,,-4.63,-0.01,9.07,-0.02,-0.02,0.02
2025-02-24 12:47:15.744,0.02,0.01,0.02,-0.06,-0.00,-0.02,,-4.66,-0.06,9.04,-0.01,-0.02,0.01
2025-02-24 12:47:15.792,0.04,0.01,0.01,-0.06,-0.00,-0.02,,-4.57,-0.00,8.98,-0.01,-0.02,0.02
2025-02-24 12:47:15.826,0.01,0.00,0.04,-0.06,-0.00,-0.02,,-4.71,-0.02,9.01,-0.02,-0.01,0.02
2025-02-24 12:47:15.860,0.02,0.00,0.02,-0.06,-0.01,-0.02,,-4.60,-0.02,8.97,-0.02,-0.01,0.02
2025-02-24 12:47:15.893,0.01,0.00,0.03,-0.06,-0.00,-0.02,,-4.74,-0.09,8.96,-0.02,-0.02,0.01
2025-02-24 12:47:15.925,0.02,-0.00,0.04,-0.06,-0.00,-0.02,,-4.62,-0.00,8.99,-0.02,-0.02,0.02
2025-02-24 12:47:15.966,0.01,0.02,0.01,-0.06,-0.00,-0.02,,-4.73,0.03,9.00,-0.02,-0.01,0.01
2025-02-24 12:47:16.008,0.01,0.01,0.02,-0.06,-0.00,-0.02,,-4.63,-0.01,8.92,-0.02,-0.02,0.01
2025-02-24 12:47:16.044,0.02,0.02,0.02,-0.06,-0.00,-0.02,,-4.69,-0.03,9.07,-0.01,-0.02,0.01
2025-02-24 12:47:16.076,0.01,0.01,0.03,-0.06,-0.00,-0.02,,-4.69,-0.04,8.97,-0.02,-0.02,0.02
2025-02-24 12:47:16.110,0.01,0.02,0.01,-0.06,-0.00,-0.02,,-4.66,-0.00,9.04,-0.01,-0.02,0.02
2025-02-24 12:47:16.143,0.02,0.00,0.01,-0.06,-0.01,-0.02,,-4.71,-0.09,8.92,-0.01,-0.02,0.02
2025-02-24 12:47:16.183,0.00,0.01,0.03,-0.06,-0.00,-0.02,,-4.60,-0.03,8.93,-0.02,-0.02,0.02
2025-02-24 12:47:16.220,0.02,0.01,0.04,-0.06,-0.00,-0.02,,-4.72,0.00,8.99,-0.01,-0.02,0.01
2025-02-24 12:47:16.258,0.02,0.02,0.00,-0.06,-0.01,-0.02,,-4.63,0.02,9.03,-0.01,-0.02,0.02
2025-02-24 12:47:16.294,0.03,0.01,0.03,-0.06,-0.01,-0.02,,-4.72,-0.06,8.91,-0.01,-0.02,0.02
2025-02-24 12:47:16.326,0.02,0.01,0.04,-0.06,-0.00,-0.02,,-4.61,-0.08,9.04,-0.02,-0.02,0.02
2025-02-24 12:47:16.360,0.03,0.01,0.01,-0.06,-0.00,-0.02,,-4.71,-0.01,9.02,-0.02,-0.01,0.02
2025-02-24 12:47:16.393,0.02,0.01,-0.00,-0.06,-0.00,-0.02,,-4.72,-0.08,9.05,-0.02,-0.02,0.02
2025-02-24 12:47:16.426,0.01,0.03,0.02,-0.06,-0.01,-0.02,,-4.61,0.03,8.97,-0.02,-0.02,0.01
2025-02-24 12:47:16.474,0.01,0.04,0.03,-0.06,-0.01,-0.02,,-4.73,-0.05,8.94,-0.01,-0.02,0.02
2025-02-24 12:47:16.510,0.01,-0.00,0.03,-0.06,-0.00,-0.02,,-4.57,0.02,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:16.543,0.00,0.00,0.05,-0.06,-0.00,-0.02,,-4.68,-0.04,9.05,-0.02,-0.02,0.01
2025-02-24 12:47:16.577,0.01,0.01,0.03,-0.06,-0.00,-0.02,,-4.62,0.00,9.06,-0.02,-0.02,0.01
2025-02-24 12:47:16.609,0.01,0.03,0.03,-0.06,-0.00,-0.02,,-4.74,0.00,8.92,-0.02,-0.02,0.01
2025-02-24 12:47:16.644,0.03,0.03,0.01,-0.06,-0.00,-0.02,,-4.59,-0.02,8.94,-0.02,-0.02,0.02
2025-02-24 12:47:16.677,0.02,0.02,0.03,-0.06,-0.00,-0.02,,-4.66,-0.00,9.13,-0.01,-0.02,0.02
2025-02-24 12:47:16.724,0.01,0.01,0.03,-0.06,-0.01,-0.02,,-4.63,-0.01,9.00,-0.02,-0.02,0.01
2025-02-24 12:47:16.760,0.02,0.01,0.07,-0.06,-0.00,-0.02,,-4.61,-0.02,9.04,-0.02,-0.02,0.02
2025-02-24 12:47:16.791,0.03,0.02,0.03,-0.06,-0.00,-0.02,,-4.69,0.04,9.04,-0.02,-0.02,0.02
2025-02-24 12:47:16.830,0.02,0.00,0.03,-0.06,-0.00,-0.02,,-4.57,0.05,9.07,-0.02,-0.02,0.01
2025-02-24 12:47:16.859,0.01,0.02,0.04,-0.06,-0.00,-0.02,,-4.75,-0.06,8.96,-0.01,-0.01,0.02
2025-02-24 12:47:16.894,0.00,0.02,0.06,-0.06,-0.00,-0.02,,-4.60,-0.06,9.00,-0.01,-0.02,0.01
2025-02-24 12:47:16.928,0.01,0.00,0.04,-0.06,-0.00,-0.02,,-4.75,-0.04,8.96,-0.02,-0.02,0.01
2025-02-24 12:47:16.974,0.02,0.01,0.03,-0.06,-0.00,-0.02,,-4.68,-0.00,9.00,-0.01,-0.02,0.02
2025-02-24 12:47:17.010,0.03,0.02,0.03,-0.06,-0.00,-0.02,,-4.58,0.00,8.98,-0.02,-0.02,0.02
2025-02-24 12:47:17.045,0.01,0.00,0.02,-0.06,-0.01,-0.02,,-4.66,-0.06,9.00,-0.01,-0.02,0.02
2025-02-24 12:47:17.076,0.00,0.00,0.00,-0.06,-0.00,-0.02,,-4.58,-0.02,9.04,-0.01,-0.02,0.02
2025-02-24 12:47:17.110,0.02,-0.01,0.03,-0.06,-0.01,-0.02,,-4.73,-0.01,9.04,-0.01,-0.02,0.01
2025-02-24 12:47:17.144,0.04,-0.01,0.02,-0.06,-0.00,-0.02,,-4.53,0.01,8.94,-0.01,-0.02,0.02
2025-02-24 12:47:17.191,0.01,0.01,0.02,-0.06,-0.01,-0.02,,-4.79,-0.03,9.03,-0.01,-0.02,0.01
